As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Mar 12, 2019",383.29,30.34,--,"17,850,000.00"
"Mar 11, 2019",381.09,30.17,--,"18,075,000.00"
"Mar 08, 2019",384.19,30.41,--,"18,300,000.00"
"Mar 07, 2019",385.45,30.51,--,"18,300,000.00"
"Mar 06, 2019",385.10,30.49,--,"18,300,000.00"
"Mar 05, 2019",385.38,30.51,--,"18,675,000.00"
"Mar 04, 2019",386.17,30.57,--,"18,675,000.00"
"Mar 01, 2019",387.63,30.69,--,"18,825,000.00"
"Feb 28, 2019",389.92,30.87,--,"18,825,000.00"
"Feb 27, 2019",392.46,31.07,--,"18,825,000.00"
"Feb 26, 2019",393.65,31.16,--,"18,825,000.00"
"Feb 25, 2019",394.82,31.26,--,"18,825,000.00"
"Feb 22, 2019",393.88,31.18,--,"18,825,000.00"
"Feb 21, 2019",396.28,31.37,--,"18,825,000.00"
"Feb 20, 2019",395.80,31.34,--,"18,825,000.00"
"Feb 19, 2019",389.29,30.82,--,"18,825,000.00"
"Feb 15, 2019",384.85,30.47,--,"18,825,000.00"
"Feb 14, 2019",385.91,30.56,--,"18,825,000.00"
"Feb 13, 2019",385.98,30.56,--,"18,825,000.00"
"Feb 12, 2019",385.54,30.53,--,"18,825,000.00"
"Feb 11, 2019",386.40,30.60,--,"18,825,000.00"
"Feb 08, 2019",386.56,30.61,--,"18,600,000.00"
"Feb 07, 2019",387.76,30.71,--,"18,600,000.00"
"Feb 06, 2019",383.28,30.35,--,"18,600,000.00"
"Feb 05, 2019",383.28,30.35,--,"18,600,000.00"
"Feb 04, 2019",383.28,30.35,--,"18,450,000.00"
"Feb 01, 2019",382.86,30.32,--,"18,450,000.00"
"Jan 31, 2019",382.86,30.32,--,"18,450,000.00"
"Jan 30, 2019",381.51,30.21,--,"18,225,000.00"
"Jan 29, 2019",382.54,30.30,--,"18,225,000.00"
"Jan 28, 2019",384.31,30.44,--,"18,075,000.00"
"Jan 25, 2019",383.92,30.41,--,"17,850,000.00"
"Jan 24, 2019",380.33,30.12,--,"17,850,000.00"
"Jan 23, 2019",379.17,30.03,--,"17,700,000.00"
"Jan 22, 2019",382.74,30.32,--,"17,475,000.00"
"Jan 18, 2019",382.73,30.32,--,"17,250,000.00"
"Jan 17, 2019",380.86,30.17,--,"17,100,000.00"
"Jan 16, 2019",378.83,30.01,--,"16,875,000.00"
"Jan 15, 2019",380.27,30.12,--,"16,875,000.00"
"Jan 14, 2019",379.61,30.07,--,"16,875,000.00"
"Jan 11, 2019",381.34,30.21,--,"16,650,000.00"
"Jan 10, 2019",379.78,30.09,--,"16,425,000.00"
"Jan 09, 2019",375.18,29.72,--,"16,200,000.00"
"Jan 08, 2019",375.30,29.73,--,"16,200,000.00"
"Jan 07, 2019",376.96,29.86,--,"16,200,000.00"
"Jan 04, 2019",373.17,29.56,--,"16,200,000.00"
"Jan 03, 2019",373.81,29.62,--,"16,200,000.00"
"Jan 02, 2019",372.64,29.52,--,"16,200,000.00"
"Dec 31, 2018",377.68,29.92,--,"16,200,000.00"
"Dec 28, 2018",376.54,29.83,--,"16,200,000.00"
"Dec 27, 2018",374.69,29.69,--,"16,200,000.00"
"Dec 26, 2018",369.18,29.25,--,"16,200,000.00"
"Dec 24, 2018",371.01,29.40,--,"16,500,000.00"
"Dec 21, 2018",368.45,29.20,--,"17,475,000.00"
"Dec 20, 2018",364.98,28.92,--,"17,475,000.00"
"Dec 19, 2018",365.71,28.98,--,"18,150,000.00"
"Dec 18, 2018",361.36,28.64,0.51,"18,150,000.00"
"Dec 17, 2018",363.10,29.29,--,"18,150,000.00"
"Dec 14, 2018",367.62,29.65,--,"18,600,000.00"
"Dec 13, 2018",370.47,29.88,--,"18,600,000.00"
"Dec 12, 2018",367.46,29.64,--,"18,975,000.00"
"Dec 11, 2018",365.20,29.46,--,"19,125,000.00"
"Dec 10, 2018",368.54,29.73,--,"19,350,000.00"
"Dec 07, 2018",373.28,30.11,--,"19,350,000.00"
"Dec 06, 2018",373.65,30.14,--,"19,050,000.00"
"Dec 04, 2018",377.44,30.45,--,"18,900,000.00"
"Dec 03, 2018",376.62,30.38,--,"18,900,000.00"
"Nov 30, 2018",371.65,29.98,--,"18,675,000.00"
"Nov 29, 2018",374.37,30.20,--,"18,600,000.00"
"Nov 28, 2018",371.46,29.97,--,"18,600,000.00"
"Nov 27, 2018",371.66,29.98,--,"18,600,000.00"
"Nov 26, 2018",376.20,30.35,--,"18,600,000.00"
"Nov 23, 2018",374.40,30.20,--,"18,600,000.00"
"Nov 21, 2018",374.52,30.22,--,"18,600,000.00"
"Nov 20, 2018",377.51,30.45,--,"18,600,000.00"
"Nov 19, 2018",377.51,30.45,--,"18,450,000.00"
"Nov 16, 2018",375.94,30.33,--,"18,300,000.00"
"Nov 15, 2018",372.83,30.08,--,"18,300,000.00"
"Nov 14, 2018",370.91,29.92,--,"18,300,000.00"
"Nov 13, 2018",370.82,29.91,--,"18,300,000.00"
"Nov 12, 2018",373.14,30.10,--,"18,300,000.00"
"Nov 09, 2018",377.08,30.42,--,"18,300,000.00"
"Nov 08, 2018",381.13,30.75,--,"18,150,000.00"
"Nov 07, 2018",379.68,30.63,--,"17,400,000.00"
"Nov 06, 2018",377.07,30.42,--,"17,400,000.00"
"Nov 05, 2018",377.07,30.42,--,"17,400,000.00"
"Nov 02, 2018",379.75,30.63,--,"17,400,000.00"
"Nov 01, 2018",375.74,30.31,--,"17,400,000.00"
"Oct 31, 2018",375.42,30.28,--,"17,400,000.00"
"Oct 30, 2018",369.90,29.84,--,"17,400,000.00"
"Oct 29, 2018",369.54,29.81,--,"17,400,000.00"
"Oct 26, 2018",370.35,29.87,--,"17,400,000.00"
"Oct 25, 2018",371.46,29.97,--,"17,400,000.00"
"Oct 24, 2018",373.12,30.10,--,"17,400,000.00"
"Oct 23, 2018",374.95,30.24,--,"17,400,000.00"
"Oct 22, 2018",380.16,30.66,--,"17,400,000.00"
"Oct 19, 2018",382.29,30.83,--,"17,400,000.00"
"Oct 18, 2018",384.14,30.98,--,"17,400,000.00"
"Oct 17, 2018",385.17,31.07,--,"17,400,000.00"
"Oct 16, 2018",384.25,31.00,--,"17,400,000.00"
"Oct 15, 2018",381.99,30.81,--,"17,400,000.00"
"Oct 12, 2018",382.74,30.87,--,"17,400,000.00"
"Oct 11, 2018",377.92,30.49,--,"17,550,000.00"
"Oct 10, 2018",383.71,30.96,--,"18,000,000.00"
"Oct 09, 2018",392.36,31.65,--,"18,000,000.00"
"Oct 08, 2018",392.95,31.70,--,"18,000,000.00"
"Oct 05, 2018",396.12,31.95,--,"18,150,000.00"
"Oct 04, 2018",399.03,32.19,--,"18,225,000.00"
"Oct 03, 2018",401.11,32.35,--,"18,225,000.00"
"Oct 02, 2018",401.27,32.36,--,"18,225,000.00"
"Oct 01, 2018",400.46,32.30,--,"18,225,000.00"
"Sep 28, 2018",401.00,32.34,--,"18,225,000.00"
"Sep 27, 2018",400.65,32.32,--,"18,075,000.00"
"Sep 26, 2018",400.33,32.29,--,"18,075,000.00"
"Sep 25, 2018",399.56,32.23,--,"18,075,000.00"
"Sep 24, 2018",401.38,32.37,--,"17,850,000.00"
"Sep 21, 2018",403.15,32.52,--,"17,850,000.00"
"Sep 20, 2018",401.13,32.36,--,"17,700,000.00"
"Sep 19, 2018",400.02,32.27,--,"16,800,000.00"
"Sep 18, 2018",398.36,32.13,--,"16,800,000.00"
"Sep 17, 2018",401.18,32.36,--,"16,800,000.00"
"Sep 14, 2018",401.18,32.36,--,"16,800,000.00"
"Sep 13, 2018",397.98,32.10,--,"16,800,000.00"
"Sep 12, 2018",396.54,31.99,--,"16,800,000.00"
"Sep 11, 2018",400.38,32.30,--,"16,800,000.00"
"Sep 10, 2018",400.38,32.30,--,"16,800,000.00"
"Sep 07, 2018",400.38,32.30,--,"16,800,000.00"
"Sep 06, 2018",400.10,32.28,--,"16,800,000.00"
"Sep 05, 2018",399.78,32.25,--,"16,800,000.00"
"Sep 04, 2018",403.32,32.54,--,"16,950,000.00"
"Aug 31, 2018",407.52,32.87,--,"16,950,000.00"
"Aug 30, 2018",407.52,32.87,--,"16,950,000.00"
"Aug 29, 2018",408.38,32.94,--,"16,950,000.00"
"Aug 28, 2018",410.35,33.10,--,"16,800,000.00"
"Aug 27, 2018",407.46,32.87,--,"16,800,000.00"
"Aug 24, 2018",405.66,32.73,--,"16,800,000.00"
"Aug 23, 2018",406.99,32.84,--,"16,500,000.00"
"Aug 22, 2018",404.51,32.63,--,"16,350,000.00"
"Aug 21, 2018",404.51,32.64,--,"16,350,000.00"
"Aug 20, 2018",401.51,32.39,--,"16,350,000.00"
"Aug 17, 2018",400.03,32.27,--,"16,350,000.00"
"Aug 16, 2018",398.66,32.16,--,"16,350,000.00"
"Aug 15, 2018",400.85,32.34,--,"16,350,000.00"
"Aug 14, 2018",401.05,32.36,--,"16,350,000.00"
"Aug 13, 2018",401.39,32.39,--,"16,350,000.00"
"Aug 10, 2018",407.31,32.86,--,"16,125,000.00"
"Aug 09, 2018",408.05,32.93,--,"15,900,000.00"
"Aug 08, 2018",408.40,32.95,--,"14,550,000.00"
"Aug 07, 2018",404.82,32.67,--,"13,125,000.00"
"Aug 06, 2018",401.79,32.42,--,"13,125,000.00"
"Aug 03, 2018",402.05,32.44,--,"13,125,000.00"
"Aug 02, 2018",402.15,32.45,--,"13,125,000.00"
"Aug 01, 2018",405.80,32.75,--,"12,975,000.00"
"Jul 31, 2018",404.53,32.64,--,"12,825,000.00"
"Jul 30, 2018",402.52,32.48,--,"12,825,000.00"
"Jul 27, 2018",401.74,32.42,--,"12,825,000.00"
"Jul 26, 2018",401.66,32.42,--,"12,825,000.00"
"Jul 25, 2018",401.52,32.40,--,"12,825,000.00"
"Jul 24, 2018",400.40,32.32,--,"12,825,000.00"
"Jul 23, 2018",399.62,32.25,--,"12,825,000.00"
"Jul 20, 2018",398.00,32.12,--,"12,825,000.00"
"Jul 19, 2018",398.70,32.18,--,"12,825,000.00"
"Jul 18, 2018",397.14,32.05,--,"12,825,000.00"
"Jul 17, 2018",394.99,31.88,--,"12,825,000.00"
"Jul 16, 2018",393.23,31.74,--,"12,825,000.00"
"Jul 13, 2018",390.51,31.52,--,"12,825,000.00"
"Jul 12, 2018",387.42,31.27,--,"12,825,000.00"
"Jul 11, 2018",383.88,30.99,--,"12,825,000.00"
"Jul 10, 2018",385.50,31.12,--,"12,825,000.00"
"Jul 09, 2018",381.16,30.77,--,"12,825,000.00"
"Jul 06, 2018",380.15,30.69,--,"13,125,000.00"
"Jul 05, 2018",385.94,31.16,--,"13,125,000.00"
"Jul 03, 2018",382.84,30.91,--,"13,275,000.00"
"Jul 02, 2018",384.74,31.06,--,"13,275,000.00"
"Jun 29, 2018",386.28,31.19,--,"13,275,000.00"
"Jun 28, 2018",380.02,30.68,--,"13,425,000.00"
"Jun 27, 2018",381.42,30.80,--,"13,425,000.00"
