Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,29.240000,29.299999,28.980000,29.070000,27.577227,20600
2016-01-04,28.219999,28.240000,27.969999,28.170000,26.723446,12800
2016-01-05,28.299999,28.370001,28.180000,28.270000,26.818306,7100
2016-01-06,27.860001,28.000000,27.520000,27.799999,26.372444,7400
2016-01-07,27.000000,27.270000,26.740000,26.809999,25.433281,34900
2016-01-08,27.209999,27.459999,26.510000,26.510000,25.148687,7600
2016-01-11,26.500000,26.540001,26.250000,26.410000,25.053822,6400
2016-01-12,26.530001,26.530001,26.299999,26.410000,25.053822,9600
2016-01-13,26.620001,26.870001,26.100000,26.100000,24.759737,10000
2016-01-14,26.320000,27.049999,26.190001,26.940001,25.556608,9300
2016-01-15,25.980000,25.980000,25.389999,25.910000,24.579498,13900
2016-01-19,26.330000,26.469999,25.990000,26.100000,24.759737,8400
2016-01-20,25.559999,25.740000,24.850000,25.549999,24.237980,107000
2016-01-21,25.570000,26.100000,25.469999,25.820000,24.494118,6000
2016-01-22,26.379999,26.700001,26.260000,26.459999,25.101254,10900
2016-01-25,26.400000,26.500000,26.110001,26.110001,24.769226,13900
2016-01-26,26.129999,26.430000,26.070000,26.430000,25.072794,9700
2016-01-27,26.430000,26.500000,26.170000,26.170000,24.826147,3400
2016-01-28,26.660000,26.700001,26.170000,26.200001,24.854607,4700
2016-01-29,26.639999,27.000000,26.629999,27.000000,25.613529,87900
2016-02-01,26.730000,27.030001,26.590000,27.000000,25.613529,4200
2016-02-02,26.670000,26.670000,26.160000,26.200001,24.854607,7800
2016-02-03,26.430000,26.530001,25.940001,26.490000,25.129715,5600
2016-02-04,26.629999,27.000000,26.629999,26.920000,25.537634,11600
2016-02-05,26.910000,26.910000,26.570000,26.590000,25.224579,4000
2016-02-08,25.910000,25.910000,25.639999,25.850000,24.522577,3200
2016-02-09,25.520000,25.750000,25.350000,25.600000,24.285416,13700
2016-02-10,25.670000,25.969999,25.670000,25.850000,24.522577,4000
2016-02-11,25.209999,25.350000,24.969999,25.209999,23.915445,13600
2016-02-12,25.559999,25.750000,25.450001,25.750000,24.427713,5000
2016-02-16,26.299999,26.700001,26.299999,26.629999,25.262526,4900
2016-02-17,26.900000,27.290001,26.870001,27.190001,25.793768,16200
2016-02-18,27.250000,27.299999,27.049999,27.049999,25.660955,5500
2016-02-19,26.950001,27.110001,26.950001,27.110001,25.717873,7900
2016-02-22,27.459999,27.870001,27.459999,27.870001,26.438850,16600
2016-02-23,27.500000,27.500000,27.059999,27.139999,25.746330,3200
2016-02-24,26.580000,27.030001,26.580000,27.030001,25.641987,1300
