Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,14.330000,14.330000,14.210000,14.230000,13.175530,26000
2016-01-04,13.060000,13.540000,13.010000,13.130000,12.157043,43800
2016-01-05,13.490000,13.490000,13.390000,13.440000,12.444071,8900
2016-01-06,13.352000,13.365000,13.300000,13.340000,12.351482,5300
2016-01-07,12.720000,13.040000,12.590000,12.620000,11.684834,13500
2016-01-08,12.840000,12.880000,12.710000,12.750000,11.805202,17500
2016-01-11,12.700000,12.700000,12.555000,12.570000,11.638539,8700
2016-01-12,12.790000,12.859000,12.610000,12.660000,11.721871,21100
2016-01-13,12.450000,12.470000,12.310000,12.310000,11.397807,2700
2016-01-14,12.470000,12.760000,12.470000,12.730000,11.786683,18200
2016-01-15,12.220000,12.220000,12.012000,12.190000,11.286698,4200
2016-01-19,12.620000,12.620000,12.530000,12.570000,11.638539,16700
2016-01-20,12.180000,12.390000,12.040000,12.390000,11.471879,39500
2016-01-21,12.180000,12.290000,12.180000,12.220000,11.314476,6300
2016-01-22,12.210000,12.301000,12.210000,12.270000,11.360771,12200
2016-01-25,12.090000,12.092000,12.000000,12.000000,11.110778,11300
2016-01-26,11.690000,11.750000,11.690000,11.720000,10.851527,17700
2016-01-27,11.540000,11.635000,11.460000,11.480000,10.629311,15700
2016-01-28,11.480000,11.490000,11.408000,11.408000,10.562646,6900
2016-01-29,11.730000,11.790000,11.720000,11.790000,10.916339,16200
2016-02-01,11.380000,11.420000,11.330000,11.330000,10.490427,13000
2016-02-02,11.530000,11.570000,11.454000,11.454000,10.605238,5200
2016-02-03,11.549000,11.660000,11.530000,11.660000,10.795973,5200
2016-02-04,11.720000,11.800000,11.720000,11.800000,10.925599,10900
2016-02-05,11.700000,11.700000,11.700000,11.700000,10.833008,1100
2016-02-08,11.440000,11.500000,11.340000,11.360000,10.518203,4700
2016-02-09,11.380000,11.380000,11.325000,11.325000,10.485797,800
2016-02-10,11.502000,11.502000,11.502000,11.502000,10.649681,100
2016-02-11,11.220000,11.220000,11.090000,11.150000,10.323765,7300
2016-02-12,11.150000,11.150000,11.150000,11.150000,10.323765,0
2016-02-16,11.940000,11.972000,11.890000,11.972000,11.084853,5100
2016-02-17,12.000000,12.210000,12.000000,12.200000,11.295958,15400
2016-02-18,12.030000,12.030000,11.995000,11.995000,11.106149,1800
2016-02-19,11.980000,12.040000,11.958000,11.990000,11.101519,29400
2016-02-22,12.290000,12.368000,12.275000,12.368000,11.451509,1700
2016-02-23,12.080000,12.080000,11.960000,11.960000,11.073742,3600
2016-02-24,12.000000,12.180000,11.990000,12.180000,11.277440,6700
2016-02-25,11.660000,11.660000,11.570000,11.610000,10.749678,7200
2016-02-26,11.819000,11.820000,11.760000,11.760000,10.888562,1600
2016-02-29,11.736000,11.739000,11.671000,11.700000,10.833008,4800
2016-03-01,11.873000,11.900000,11.820000,11.820000,10.944117,8500
2016-03-02,12.110000,12.110000,12.030000,12.090000,11.194109,8300
2016-03-03,12.180000,12.220000,12.120000,12.160000,11.258922,14600
2016-03-04,12.610000,12.670000,12.590000,12.660000,11.721871,6200
2016-03-07,12.510000,12.550000,12.510000,12.520000,11.592245,9100
2016-03-08,12.380000,12.410000,12.320000,12.320000,11.407065,5400
2016-03-09,12.400000,12.420000,12.290000,12.410000,11.490396,23300
2016-03-10,12.241000,12.241000,12.110000,12.160000,11.258922,8800
2016-03-11,12.360000,12.430000,12.350000,12.410000,11.490396,10700
2016-03-14,12.450000,12.500000,12.330000,12.350000,11.434843,19800
2016-03-15,12.390000,12.470000,12.360000,12.410000,11.490396,32600
2016-03-16,12.570000,12.780000,12.540000,12.780000,11.832978,35300
2016-03-17,12.790000,12.890000,12.785000,12.850000,11.897792,9700
2016-03-18,12.970000,12.990000,12.925000,12.930000,11.971864,18100
2016-03-21,13.180000,13.200000,13.100000,13.197000,12.219078,19300
2016-03-22,12.990000,13.000000,12.920000,12.930000,11.971864,13900
