Date,Adj Close
2019-03-15,26.88
2019-03-14,26.58
2019-03-13,26.74
2019-03-12,26.28
2019-03-11,26.35
2019-03-08,25.31
2019-03-07,26.2
2019-03-06,26.68
2019-03-05,26.88
2019-03-04,26.15
2019-03-01,26.59
2019-02-28,26.3
2019-02-27,26.75
2019-02-26,26.34
2019-02-25,26.41
2019-02-22,25.57
2019-02-21,25.56
2019-02-20,25.72
2019-02-19,25.73
2019-02-15,25.2
2019-02-14,25.43
2019-02-13,25.33
2019-02-12,24.92
2019-02-11,24.81
2019-02-08,24.86
2019-02-07,24.7
2019-02-06,24.84
2019-02-05,25
2019-02-04,24.48
2019-02-01,24.36
2019-01-31,24.78
2019-01-30,24.59
2019-01-29,24.38
2019-01-28,24.48
2019-01-25,24.81
2019-01-24,24.34
2019-01-23,24.21
2019-01-22,24.12
2019-01-18,24.56
2019-01-17,23.99
2019-01-16,24.2
2019-01-15,23.75
2019-01-14,23.49
2019-01-11,23.88
2019-01-10,24.12
2019-01-09,24.2
2019-01-08,23.7
2019-01-07,23.71
2019-01-04,23.39
2019-01-03,22.29
2019-01-02,22.79
2018-12-31,22.9
2018-12-28,22.86
2018-12-27,22.98
2018-12-26,23.19
2018-12-24,22.75
2018-12-21,22.71
2018-12-20,22.8
2018-12-19,22.81
2018-12-18,23.26
2018-12-17,23.33
2018-12-14,23.84
2018-12-13,24.31
2018-12-12,24.31
2018-12-11,24
2018-12-10,23.5
2018-12-07,23.42
2018-12-06,23.36
2018-12-05,0
2018-12-04,0
2018-12-03,24.6
2018-11-30,23.97
2018-11-29,23.7
2018-11-28,23.84
2018-11-27,23.37
2018-11-26,23.38
2018-11-23,23.2
2018-11-21,23.72
2018-11-20,22.94
2018-11-19,23.38
2018-11-16,24
2018-11-15,24.07
2018-11-14,23.17
2018-11-13,22.84
2018-11-12,22.23
2018-11-09,22.93
2018-11-08,23.5
2018-11-07,24.25
2018-11-06,23.97
2018-11-05,23.77
2018-11-02,23.95
2018-11-01,23.82
2018-10-31,22.5
2018-10-30,21.45
2018-10-29,21.15
2018-10-26,21.82
2018-10-25,21.95
2018-10-24,21.66
2018-10-23,22.73
2018-10-22,23.1
2018-10-19,22.49
2018-10-18,22.32
2018-10-17,23.08
2018-10-16,23.5
2018-10-15,23.27
2018-10-12,23.48
2018-10-11,22.45
2018-10-10,22.78
2018-10-09,23.74
2018-10-08,23.84
2018-10-05,24.42
2018-10-04,24.93
2018-10-03,25.9
2018-10-02,25.87
2018-10-01,26.71
2018-09-28,26.61
2018-09-27,26.74
2018-09-26,26.75
2018-09-25,26.54
2018-09-24,26.33
2018-09-21,26.84
2018-09-20,26.61
2018-09-19,26.22
2018-09-18,25.78
2018-09-17,25.5
2018-09-14,25.91
2018-09-13,25.9
2018-09-12,25.26
2018-09-11,24.79
2018-09-10,24.84
2018-09-07,25.67
2018-09-06,25.7
2018-09-05,25.83
2018-09-04,26.53
2018-08-31,26.59
2018-08-30,26.42
2018-08-29,27.28
2018-08-28,27.14
2018-08-27,27.5
2018-08-24,26.64
2018-08-23,26.53
2018-08-22,26.71
2018-08-21,26.57
2018-08-20,26.04
2018-08-17,25.6
2018-08-16,25.35
2018-08-15,24.98
2018-08-14,26.07
2018-08-13,26.74
2018-08-10,27.31
2018-08-09,27.7
2018-08-08,27.32
2018-08-07,27.8
2018-08-06,27.37
2018-08-03,27.8
2018-08-02,27.71
2018-08-01,28.13
2018-07-31,28.43
2018-07-30,28.72
2018-07-27,29.43
2018-07-26,29.63
2018-07-25,30.05
2018-07-24,29.75
2018-07-23,29.71
2018-07-20,29.75
2018-07-19,29.56
2018-07-18,29.93
2018-07-17,29.85
2018-07-16,29.8
2018-07-13,29.9
2018-07-12,29.81
2018-07-11,29.12
2018-07-10,29.21
2018-07-09,29.75
2018-07-06,29.07
2018-07-05,28.66
2018-07-03,29.16
2018-07-02,29.06
2018-06-29,29.45
2018-06-28,28.82
2018-06-27,28.47
2018-06-26,29.8
2018-06-25,29.77
2018-06-22,30.8
2018-06-21,30.59
2018-06-20,31.01
2018-06-19,30.6
2018-06-18,31.43
2018-06-15,31.86
2018-06-14,32.15
2018-06-13,32.19
2018-06-12,32.18
2018-06-11,31.84
2018-06-08,31.43
2018-06-07,31.51
2018-06-06,31.78
2018-06-05,31.68
2018-06-04,31.3
2018-06-01,30.92
2018-05-31,30.3
2018-05-30,29.98
2018-05-29,29.8
2018-05-25,29.93
2018-05-24,29.93
2018-05-23,30.17
2018-05-22,30.01
2018-05-21,29.93
2018-05-18,29.97
2018-05-17,30.17
2018-05-16,30.23
2018-05-15,29.94
