Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,19.910000,19.950001,19.850000,19.860001,19.244785,2411300
2016-01-04,19.490000,19.559999,19.420000,19.500000,18.895937,6315800
2016-01-05,19.680000,19.820000,19.670000,19.740000,19.128500,5961500
2016-01-06,19.459999,19.540001,19.389999,19.469999,18.866867,3816000
2016-01-07,18.950001,19.120001,18.770000,18.790001,18.207932,7464000
2016-01-08,19.049999,19.090000,18.799999,18.840000,18.256386,7147200
2016-01-11,19.070000,19.129999,18.910000,19.070000,18.479254,5818900
2016-01-12,18.959999,19.059999,18.820000,18.930000,18.343594,4514100
2016-01-13,19.020000,19.059999,18.670000,18.719999,18.140099,5364900
2016-01-14,18.719999,18.879999,18.559999,18.809999,18.227310,7274100
2016-01-15,18.180000,18.219999,18.010000,18.120001,17.558687,8510400
2016-01-19,18.219999,18.230000,17.910000,18.020000,17.461781,5621600
2016-01-20,17.750000,17.870001,17.480000,17.730000,17.180765,7572600
2016-01-21,17.760000,17.879999,17.620001,17.719999,17.171078,7068300
2016-01-22,18.209999,18.219999,18.070000,18.200001,17.636209,6923600
2016-01-25,18.100000,18.170000,17.920000,17.930000,17.374575,5155700
2016-01-26,18.059999,18.180000,18.030001,18.170000,17.607140,3887900
2016-01-27,18.129999,18.250000,17.870001,17.959999,17.403645,5493100
2016-01-28,18.100000,18.160000,17.959999,18.059999,17.500546,6073200
2016-01-29,18.389999,18.600000,18.370001,18.590000,18.014126,6414000
2016-02-01,18.379999,18.490000,18.320000,18.420000,17.849392,3725600
2016-02-02,18.080000,18.080000,17.820000,17.850000,17.297054,4607700
2016-02-03,17.840000,18.110001,17.629999,18.059999,17.500546,6112200
2016-02-04,18.040001,18.129999,17.889999,18.000000,17.442404,5164400
2016-02-05,18.100000,18.120001,17.889999,17.959999,17.403645,3957200
2016-02-08,17.809999,17.930000,17.680000,17.850000,17.297054,5799000
2016-02-09,17.469999,17.650000,17.370001,17.540001,16.996653,5340400
2016-02-10,17.480000,17.559999,17.270000,17.280001,16.744705,4863400
2016-02-11,16.660000,16.770000,16.549999,16.670000,16.153603,6850400
2016-02-12,16.760000,16.850000,16.670000,16.850000,16.328026,3520600
2016-02-16,16.870001,16.950001,16.830000,16.920000,16.395859,4058000
2016-02-17,17.170000,17.260000,17.139999,17.230000,16.696255,4355700
2016-02-18,17.200001,17.200001,17.030001,17.080000,16.550901,3506200
2016-02-19,17.049999,17.170000,17.020000,17.080000,16.550901,2313600
2016-02-22,17.280001,17.430000,17.250000,17.430000,16.890060,2998300
2016-02-23,17.110001,17.110001,16.950001,16.969999,16.444309,4073000
2016-02-24,16.809999,17.020000,16.709999,16.940001,16.415241,3481100
2016-02-25,16.790001,16.840000,16.690001,16.830000,16.308647,4662300
2016-02-26,16.840000,16.860001,16.680000,16.700001,16.182674,3389600
2016-02-29,16.879999,17.010000,16.850000,16.879999,16.357098,3179100
2016-03-01,17.549999,17.730000,17.500000,17.730000,17.180765,3951400
2016-03-02,17.930000,18.180000,17.900000,18.160000,17.597446,6552600
2016-03-03,18.250000,18.350000,18.200001,18.350000,17.781563,4653800
2016-03-04,18.520000,18.770000,18.459999,18.760000,18.178858,7859800
2016-03-07,18.540001,18.770000,18.510000,18.660000,18.081955,4186100
2016-03-08,18.469999,18.510000,18.340000,18.389999,17.820322,3992200
2016-03-09,18.600000,18.700001,18.580000,18.639999,18.062576,4074800
2016-03-10,18.600000,18.620001,18.309999,18.440001,17.868774,6140000
2016-03-11,18.570000,18.719999,18.559999,18.709999,18.130407,3276700
2016-03-14,18.629999,18.700001,18.559999,18.639999,18.062576,2780200
2016-03-15,18.430000,18.440001,18.350000,18.420000,17.849392,2741500
2016-03-16,18.420000,18.889999,18.420000,18.830000,18.246687,5168400
2016-03-17,18.719999,18.940001,18.719999,18.920000,18.333904,4590900
2016-03-18,19.070000,19.170000,19.059999,19.110001,18.518021,4219700
2016-03-21,19.250000,19.330000,19.209999,19.280001,18.692570,2861100
2016-03-22,19.190001,19.309999,19.180000,19.190001,18.605318,3442000
2016-03-23,19.170000,19.209999,19.040001,19.090000,18.508364,3796600
2016-03-24,18.930000,19.090000,18.930000,19.080000,18.498667,2964700
2016-03-28,19.000000,19.049999,18.959999,18.990000,18.411407,2227800
2016-03-29,19.000000,19.209999,18.930000,19.209999,18.624706,3385500
2016-03-30,19.480000,19.549999,19.450001,19.480000,18.886478,3885000
2016-03-31,19.500000,19.590000,19.469999,19.510000,18.915567,3028600
2016-04-01,19.200001,19.559999,19.150000,19.500000,18.905869,3392800
2016-04-04,19.549999,19.549999,19.400000,19.400000,18.808914,2103200
2016-04-05,19.010000,19.090000,18.930000,18.959999,18.382320,3420100
2016-04-06,18.959999,19.160000,18.900000,19.150000,18.566536,3014700
2016-04-07,18.910000,18.930000,18.690001,18.719999,18.149628,3446600
2016-04-08,19.000000,19.010000,18.860001,18.930000,18.353237,3903200
2016-04-11,19.280001,19.340000,19.250000,19.280001,18.692570,3105400
2016-04-12,19.360001,19.600000,19.350000,19.540001,18.944651,4662700
2016-04-13,19.690001,19.799999,19.670000,19.790001,19.187038,4973300
2016-04-14,19.799999,19.850000,19.740000,19.809999,19.206425,2046200
2016-04-15,19.820000,19.879999,19.770000,19.820000,19.216120,5876000
2016-04-18,19.809999,19.930000,19.770000,19.889999,19.283987,3359700
2016-04-19,20.080000,20.230000,20.049999,20.180000,19.565151,3092500
2016-04-20,19.930000,20.049999,19.889999,19.920000,19.313076,6273200
2016-04-21,19.870001,19.889999,19.730000,19.770000,19.167645,2712200
2016-04-22,19.770000,19.889999,19.750000,19.770000,19.167645,2692200
2016-04-25,19.660000,19.670000,19.559999,19.580000,18.983429,1700000
2016-04-26,19.930000,19.980000,19.870001,19.969999,19.361549,2759300
2016-04-27,19.980000,20.139999,19.889999,20.100000,19.487589,3378800
2016-04-28,19.660000,19.780001,19.629999,19.629999,19.031906,4595700
2016-04-29,19.570000,19.639999,19.450001,19.580000,18.983429,4047600
2016-05-02,19.520000,19.580000,19.480000,19.570000,18.973736,4713400
2016-05-03,19.340000,19.360001,19.170000,19.180000,18.595619,4336700
2016-05-04,19.100000,19.129999,18.920000,18.950001,18.372623,5232000
2016-05-05,19.090000,19.139999,19.020000,19.090000,18.508364,2451100
2016-05-06,19.139999,19.240000,19.120001,19.190001,18.605318,2314800
2016-05-09,19.400000,19.420000,19.290001,19.299999,18.711958,3619800
2016-05-10,19.430000,19.459999,19.370001,19.459999,18.867086,3414500
2016-05-11,19.379999,19.410000,19.260000,19.280001,18.692570,4948000
2016-05-12,19.450001,19.469999,19.290001,19.350000,18.760437,3421900
2016-05-13,19.230000,19.320000,19.000000,19.030001,18.450186,4032200
2016-05-16,19.290001,19.330000,19.250000,19.290001,18.702269,2366600
2016-05-17,19.299999,19.330000,19.139999,19.180000,18.595619,2331600
2016-05-18,19.209999,19.360001,19.040001,19.120001,18.537449,5889700
2016-05-19,18.760000,18.830000,18.690001,18.809999,18.236893,4833800
2016-05-20,18.900000,18.900000,18.790001,18.830000,18.256283,2677800
2016-05-23,18.700001,18.760000,18.650000,18.670000,18.101156,2239500
2016-05-24,18.760000,18.860001,18.700001,18.840000,18.265982,2331000
2016-05-25,19.209999,19.299999,19.150000,19.250000,18.663486,3221800
2016-05-26,19.480000,19.590000,19.480000,19.590000,18.993126,3341500
2016-05-27,19.830000,19.850000,19.760000,19.809999,19.206425,3599100
2016-05-31,19.870001,19.889999,19.760000,19.770000,19.167645,4021900
2016-06-01,19.700001,19.760000,19.639999,19.719999,19.119167,2602700
2016-06-02,19.830000,20.010000,19.790001,20.000000,19.390633,3520700
2016-06-03,20.030001,20.139999,19.950001,20.129999,19.516676,5305000
2016-06-06,19.990000,20.200001,19.990000,20.139999,19.526371,3826900
2016-06-07,20.190001,20.309999,20.150000,20.280001,19.662102,2961600
2016-06-08,20.370001,20.450001,20.340000,20.420000,19.797840,4098200
2016-06-09,20.190001,20.270000,20.120001,20.230000,19.613625,3110700
2016-06-10,20.090000,20.120001,19.920000,19.930000,19.322767,3858500
2016-06-13,19.760000,19.850000,19.690001,19.700001,19.099775,3735600
2016-06-14,19.740000,19.809999,19.629999,19.730000,19.128862,5066400
2016-06-15,20.070000,20.200001,20.000000,20.070000,19.458502,5392600
2016-06-16,19.780001,19.990000,19.690001,19.950001,19.342155,4572200
2016-06-17,20.030001,20.030001,19.879999,19.990000,19.380938,4338700
2016-06-20,20.000000,20.049999,19.900000,19.930000,19.444355,3084400
2016-06-21,19.889999,20.020000,19.809999,19.950001,19.463865,4264100
2016-06-22,19.950001,19.990000,19.830000,19.860001,19.376064,3600500
2016-06-23,20.139999,20.280001,20.030001,20.260000,19.766312,5432700
2016-06-24,19.309999,19.620001,19.170000,19.219999,18.751652,9033600
2016-06-27,19.370001,19.370001,19.120001,19.290001,18.819952,5236800
2016-06-28,19.549999,19.700001,19.480000,19.700001,19.219959,5354600
2016-06-29,19.940001,20.100000,19.870001,20.100000,19.610214,3839500
2016-06-30,20.150000,20.200001,19.980000,20.190001,19.698019,6209200
2016-07-01,20.360001,20.490000,20.320000,20.450001,19.951687,3488100
2016-07-05,20.490000,20.490000,20.240000,20.270000,19.776072,5025800
2016-07-06,20.190001,20.379999,20.150000,20.370001,19.873636,3985800
2016-07-07,20.410000,20.440001,20.219999,20.280001,19.785826,2568900
2016-07-08,20.440001,20.639999,20.410000,20.639999,20.137054,2730200
2016-07-11,20.799999,20.910000,20.799999,20.830000,20.322422,3074700
2016-07-12,20.940001,21.120001,20.940001,21.049999,20.537060,4390400
2016-07-13,21.010000,21.010000,20.850000,20.940001,20.429747,4640800
2016-07-14,21.120001,21.230000,21.040001,21.190001,20.673655,4528100
2016-07-15,20.980000,21.010000,20.879999,20.930000,20.419985,4685500
2016-07-18,20.709999,20.860001,20.690001,20.850000,20.341940,1988900
2016-07-19,20.879999,20.879999,20.780001,20.830000,20.322422,1655200
2016-07-20,20.870001,20.940001,20.799999,20.910000,20.400475,1887300
2016-07-21,20.799999,20.830000,20.700001,20.740000,20.234617,2696500
2016-07-22,20.969999,21.040001,20.889999,21.040001,20.527309,2535300
2016-07-25,21.160000,21.160000,21.000000,21.049999,20.537060,1733200
2016-07-26,21.020000,21.090000,20.940001,21.059999,20.546822,4527400
2016-07-27,21.170000,21.330000,21.080000,21.290001,20.771217,3419900
2016-07-28,21.330000,21.370001,21.219999,21.360001,20.839510,3552800
2016-07-29,21.340000,21.420000,21.250000,21.379999,20.859018,3682200
2016-08-01,21.360001,21.410000,21.250000,21.280001,20.761459,3894200
2016-08-02,21.350000,21.360001,21.129999,21.240000,20.722431,2827600
2016-08-03,20.959999,21.190001,20.940001,21.180000,20.663895,2166100
2016-08-04,21.190001,21.270000,21.150000,21.160000,20.644384,3252200
2016-08-05,21.469999,21.549999,21.420000,21.540001,21.015125,4288100
2016-08-08,21.580000,21.600000,21.540001,21.559999,21.034637,2499700
2016-08-09,21.590000,21.600000,21.520000,21.580000,21.054150,1775700
2016-08-10,21.360001,21.360001,21.209999,21.250000,20.732191,2789100
2016-08-11,21.309999,21.520000,21.309999,21.510000,20.985857,3719800
2016-08-12,21.610001,21.610001,21.480000,21.549999,21.024876,2389200
2016-08-15,21.549999,21.650000,21.549999,21.610001,21.083420,1534900
2016-08-16,21.450001,21.450001,21.370001,21.400000,20.878531,2311600
2016-08-17,21.410000,21.469999,21.260000,21.400000,20.878531,3523900
2016-08-18,21.549999,21.620001,21.490000,21.620001,21.093176,2169200
2016-08-19,21.530001,21.600000,21.430000,21.590000,21.063904,2844300
2016-08-22,21.309999,21.379999,21.209999,21.270000,20.751707,2877900
2016-08-23,21.400000,21.450001,21.290001,21.299999,20.780973,2594800
2016-08-24,21.430000,21.549999,21.389999,21.530001,21.005367,3217500
2016-08-25,21.299999,21.370001,21.290001,21.360001,20.839510,1907400
2016-08-26,21.360001,21.500000,21.059999,21.230000,20.712675,5081600
2016-08-29,21.379999,21.520000,21.379999,21.520000,20.995609,2281800
2016-08-30,21.719999,21.780001,21.610001,21.629999,21.102930,2305800
2016-08-31,21.780001,21.780001,21.660000,21.680000,21.151712,3997600
2016-09-01,21.660000,21.780001,21.600000,21.780001,21.249275,2415300
2016-09-02,21.980000,22.059999,21.940001,22.059999,21.522449,7086600
2016-09-06,22.240000,22.379999,22.200001,22.360001,21.815142,4067300
2016-09-07,22.379999,22.379999,22.250000,22.299999,21.756603,2570700
2016-09-08,22.320000,22.320000,22.160000,22.209999,21.668795,2173600
2016-09-09,22.040001,22.040001,21.670000,21.680000,21.151712,4787600
2016-09-12,21.580000,21.920000,21.559999,21.870001,21.337088,4762900
2016-09-13,21.620001,21.660000,21.350000,21.379999,20.859018,6652800
2016-09-14,21.639999,21.760000,21.600000,21.650000,21.122438,3476000
2016-09-15,21.670000,21.889999,21.639999,21.830000,21.298054,3436800
2016-09-16,21.670000,21.680000,21.530001,21.620001,21.093176,4090000
2016-09-19,21.809999,21.870001,21.680000,21.740000,21.210249,3467800
2016-09-20,21.740000,21.790001,21.680000,21.690001,21.161472,2471600
2016-09-21,21.780001,22.080000,21.650000,22.070000,21.532207,5352700
2016-09-22,22.170000,22.230000,22.110001,22.200001,21.659042,3661400
2016-09-23,22.070000,22.070000,21.920000,21.920000,21.385866,3474800
2016-09-26,21.760000,21.809999,21.660000,21.670000,21.209684,3374700
2016-09-27,21.799999,21.840000,21.690001,21.840000,21.376078,2796600
2016-09-28,21.920000,22.110001,21.840000,22.110001,21.640339,3822000
2016-09-29,21.370001,21.400000,21.129999,21.139999,20.690947,7742500
2016-09-30,21.559999,21.650000,21.510000,21.620001,21.160751,4003700
2016-10-03,21.860001,22.080000,21.840000,22.070000,21.601191,3202300
2016-10-04,22.180000,22.180000,21.930000,21.980000,21.513103,3505600
2016-10-05,22.020000,22.139999,22.020000,22.110001,21.640339,2584100
2016-10-06,21.930000,22.049999,21.879999,21.990000,21.522894,2078800
2016-10-07,22.030001,22.040001,21.860001,21.959999,21.493528,2349100
2016-10-10,22.030001,22.090000,22.000000,22.049999,21.581619,1470200
2016-10-11,21.870001,21.870001,21.719999,21.790001,21.327141,3537000
2016-10-12,21.750000,21.840000,21.709999,21.770000,21.307566,2219500
2016-10-13,21.400000,21.620001,21.340000,21.520000,21.062876,3429100
2016-10-14,21.709999,21.760000,21.580000,21.590000,21.131388,2364100
2016-10-17,21.520000,21.549999,21.450001,21.480000,21.023722,3343000
2016-10-18,21.850000,21.920000,21.790001,21.920000,21.454378,2400100
2016-10-19,21.910000,22.010000,21.900000,21.990000,21.522894,2553200
2016-10-20,21.980000,22.040001,21.900000,21.930000,21.464165,2185200
