Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,17.930000,18.070000,17.930000,17.969999,16.564651,93600
2016-01-04,17.480000,17.570000,17.379999,17.500000,16.131411,75600
2016-01-05,17.629999,17.629999,17.540001,17.559999,16.186720,24700
2016-01-06,17.270000,17.400000,17.260000,17.309999,15.956270,255600
2016-01-07,16.790001,17.059999,16.790001,16.809999,15.495375,160000
2016-01-08,16.950001,16.950001,16.650000,16.650000,15.347882,97000
2016-01-11,16.730000,16.730000,16.389999,16.530001,15.237271,83900
2016-01-12,16.770000,16.770000,16.469999,16.610001,15.311013,366400
2016-01-13,16.799999,16.799999,16.360001,16.400000,15.117435,37500
2016-01-14,16.469999,16.670000,16.360001,16.600000,15.301794,46300
2016-01-15,15.970000,16.020000,15.760000,15.890000,14.647321,44700
2016-01-19,16.190001,16.209999,15.940000,16.030001,14.776372,85900
2016-01-20,15.660000,15.820000,15.390000,15.720000,14.490617,59500
2016-01-21,15.690000,15.870000,15.590000,15.720000,14.490617,39200
2016-01-22,16.139999,16.250000,16.129999,16.250000,14.979168,45300
2016-01-25,16.110001,16.170000,15.950000,15.950000,14.702629,76500
2016-01-26,16.100000,16.240000,16.090000,16.180000,14.914641,39000
2016-01-27,16.150000,16.379999,16.080000,16.139999,14.877769,22000
2016-01-28,16.459999,16.500000,16.340000,16.459999,15.172742,35900
2016-01-29,16.680000,17.020000,16.680000,17.020000,15.688951,66800
2016-02-01,16.790001,16.850000,16.700001,16.809999,15.495375,56100
2016-02-02,16.570000,16.570000,16.290001,16.309999,15.034472,82900
2016-02-03,16.469999,16.850000,16.250000,16.850000,15.532243,31800
2016-02-04,16.920000,17.000000,16.740000,16.830000,15.513809,14300
2016-02-05,16.790001,16.820000,16.600000,16.709999,15.403193,26600
2016-02-08,16.480000,16.480000,16.180000,16.360001,15.080565,36700
2016-02-09,16.020000,16.280001,15.970000,16.120001,14.859333,48700
2016-02-10,16.270000,16.440001,16.209999,16.209999,14.942295,19100
2016-02-11,15.880000,16.040001,15.810000,16.020000,14.767156,24200
2016-02-12,16.190001,16.270000,16.080000,16.219999,14.951512,30800
2016-02-16,16.570000,16.610001,16.469999,16.570000,15.274142,32300
2016-02-17,16.799999,17.049999,16.790001,16.980000,15.652078,25300
2016-02-18,17.070000,17.080000,16.900000,16.910000,15.587553,28300
2016-02-19,16.850000,16.950001,16.799999,16.950001,15.624424,22800
2016-02-22,17.129999,17.330000,17.129999,17.320000,15.965487,60900
2016-02-23,17.070000,17.150000,16.930000,16.930000,15.605989,27500
2016-02-24,16.690001,16.950001,16.570000,16.910000,15.587553,15900
2016-02-25,16.920000,17.020000,16.799999,17.020000,15.688951,75200
2016-02-26,17.030001,17.030001,16.760000,16.790001,15.476937,15000
2016-02-29,16.940001,17.150000,16.940001,17.020000,15.688951,10100
2016-03-01,17.230000,17.660000,17.230000,17.660000,16.278902,65400
2016-03-02,17.570000,17.809999,17.570000,17.809999,16.417168,35000
2016-03-03,17.750000,18.000000,17.709999,18.000000,16.592306,38800
2016-03-04,18.030001,18.360001,18.030001,18.330000,16.896500,49500
2016-03-07,18.200001,18.379999,18.200001,18.320000,16.887283,9000
2016-03-08,18.110001,18.139999,17.980000,18.059999,16.647615,14300
2016-03-09,18.250000,18.299999,18.190001,18.299999,16.868845,30500
2016-03-10,18.309999,18.309999,17.959999,18.250000,16.822756,13400
2016-03-11,18.520000,18.650000,18.480000,18.650000,17.191475,80000
2016-03-14,18.520000,18.730000,18.430000,18.660000,17.200695,154100
2016-03-15,18.280001,18.280001,18.120001,18.219999,16.795099,41500
2016-03-16,18.049999,18.590000,18.020000,18.540001,17.090078,23100
2016-03-17,18.719999,19.040001,18.719999,19.020000,17.532539,19100
2016-03-18,19.170000,19.200001,19.080000,19.150000,17.652370,25400
2016-03-21,19.270000,19.290001,19.209999,19.240000,17.735334,26900
2016-03-22,18.990000,19.260000,18.990000,19.180000,17.680027,64600
2016-03-23,18.900000,18.910000,18.750000,18.750000,17.283653,42800
2016-03-24,18.580000,18.790001,18.559999,18.760000,17.292871,24000
2016-03-28,18.889999,18.889999,18.750000,18.850000,17.375832,17900
2016-03-29,18.760000,19.110001,18.719999,19.049999,17.560190,13100
2016-03-30,19.320000,19.400000,19.170000,19.170000,17.670811,37100
2016-03-31,19.290001,19.389999,19.200001,19.250000,17.744551,81800
2016-04-01,18.950001,19.270000,18.889999,19.270000,17.762989,104100
2016-04-04,19.150000,19.309999,18.969999,19.010000,17.523319,112600
2016-04-05,18.750000,18.750000,18.620001,18.620001,17.163824,41300
2016-04-06,18.549999,18.750000,18.480000,18.750000,17.283653,31400
2016-04-07,18.559999,18.559999,18.379999,18.459999,17.016333,11900
2016-04-08,18.809999,18.889999,18.719999,18.760000,17.292871,40700
2016-04-11,19.059999,19.240000,19.059999,19.120001,17.624718,167000
2016-04-12,19.180000,19.420000,19.090000,19.350000,17.836731,28800
2016-04-13,19.559999,19.740000,19.559999,19.719999,18.177795,116400
2016-04-14,19.639999,19.639999,19.500000,19.639999,18.104052,66600
2016-04-15,19.450001,19.450001,19.320000,19.379999,17.864384,90100
2016-04-18,19.299999,19.510000,19.250000,19.350000,17.836731,67500
2016-04-19,19.510000,19.700001,19.510000,19.670000,18.131706,37500
2016-04-20,19.639999,19.760000,19.459999,19.629999,18.094833,81500
2016-04-21,19.480000,19.530001,19.320000,19.350000,17.836731,34000
2016-04-22,19.260000,19.510000,19.260000,19.299999,17.790640,118000
2016-04-25,19.250000,19.260000,19.129999,19.219999,17.716898,73400
2016-04-26,19.330000,19.400000,19.240000,19.400000,17.882822,12700
2016-04-27,19.360001,19.549999,19.209999,19.520000,17.993435,29900
2016-04-28,19.459999,19.570000,19.340000,19.389999,17.873604,36600
2016-04-29,19.440001,19.480000,19.270000,19.420000,17.901257,32300
2016-05-02,19.309999,19.320000,19.219999,19.320000,17.809082,54200
2016-05-03,18.920000,18.920000,18.660000,18.670000,17.209908,106700
2016-05-04,18.559999,18.559999,18.299999,18.350000,16.914938,23900
2016-05-05,18.480000,18.540001,18.299999,18.400000,16.961025,52600
2016-05-06,18.240000,18.410000,18.240000,18.370001,16.933372,24600
2016-05-09,18.280001,18.280001,17.959999,18.049999,16.638397,38100
2016-05-10,18.250000,18.370001,18.170000,18.330000,16.896500,34300
2016-05-11,18.400000,18.580000,18.389999,18.500000,17.053205,151200
2016-05-12,18.540001,18.600000,18.309999,18.459999,17.016333,23400
2016-05-13,18.360001,18.360001,18.020000,18.020000,16.610744,52100
2016-05-16,18.280001,18.330000,18.219999,18.290001,16.859629,25100
2016-05-17,18.160000,18.270000,18.120001,18.209999,16.785885,66100
2016-05-18,18.070000,18.260000,17.870001,17.990000,16.583094,33100
2016-05-19,17.799999,17.799999,17.600000,17.730000,16.343426,18000
2016-05-20,17.950001,18.000000,17.879999,17.950001,16.546221,35000
2016-05-23,17.830000,17.940001,17.790001,17.900000,16.500130,31400
2016-05-24,17.969999,18.129999,17.969999,18.129999,16.712143,28900
2016-05-25,18.129999,18.180000,18.030001,18.049999,16.638397,24300
2016-05-26,18.090000,18.219999,18.070000,18.090000,16.675268,80600
2016-05-27,18.129999,18.180000,18.020000,18.070000,16.656832,26200
2016-05-31,18.209999,18.340000,18.110001,18.180000,16.758234,18000
2016-06-01,18.170000,18.260000,18.059999,18.219999,16.795099,21000
2016-06-02,18.090000,18.370001,18.090000,18.320000,16.887283,22000
2016-06-03,18.600000,18.820000,18.559999,18.820000,17.348177,37600
2016-06-06,18.910000,18.980000,18.799999,18.920000,17.440359,11500
2016-06-07,19.110001,19.150000,19.080000,19.110001,17.615498,33400
2016-06-08,19.240000,19.410000,19.240000,19.360001,17.845953,28300
2016-06-09,19.100000,19.200001,19.080000,19.170000,17.670811,16000
2016-06-10,18.809999,18.809999,18.549999,18.600000,17.145386,339400
2016-06-13,18.379999,18.510000,18.309999,18.400000,16.961025,46300
2016-06-14,18.350000,18.410000,18.110001,18.190001,16.767448,23300
2016-06-15,18.450001,18.570000,18.350000,18.379999,16.942589,19700
2016-06-16,18.030001,18.370001,17.940001,18.330000,16.896500,13300
2016-06-17,18.410000,18.530001,18.330000,18.459999,17.016333,14000
2016-06-20,18.850000,18.950001,18.750000,18.760000,17.292871,22500
2016-06-21,18.799999,18.959999,18.730000,18.920000,17.440359,15800
2016-06-22,18.799999,18.920000,18.770000,18.809999,17.512043,7400
2016-06-23,19.040001,19.320000,18.969999,19.320000,17.986856,17600
2016-06-24,18.150000,18.660000,18.150000,18.250000,16.990688,125100
2016-06-27,18.299999,18.299999,17.910000,18.030001,16.785872,133900
2016-06-28,18.500000,18.590000,18.400000,18.570000,17.288607,41100
2016-06-29,18.920000,19.070000,18.920000,19.020000,17.707556,58200
2016-06-30,19.180000,19.330000,19.059999,19.200001,17.875132,41300
2016-07-01,19.299999,19.480000,19.299999,19.379999,18.042713,285100
2016-07-05,19.160000,19.160000,19.040001,19.059999,17.744797,76300
2016-07-06,18.840000,19.070000,18.760000,19.049999,17.735481,30600
2016-07-07,19.160000,19.160000,18.840000,18.870001,17.567905,57800
2016-07-08,19.190001,19.459999,19.190001,19.430000,18.089264,26500
2016-07-11,19.530001,19.690001,19.530001,19.660000,18.303394,20400
2016-07-12,19.889999,20.040001,19.889999,19.959999,18.582689,32700
2016-07-13,20.010000,20.010000,19.780001,19.940001,18.564074,25500
2016-07-14,20.230000,20.340000,20.150000,20.250000,18.852682,40200
2016-07-15,20.200001,20.230000,20.129999,20.170000,18.778200,16700
2016-07-18,20.030001,20.230000,20.020000,20.230000,18.834061,14200
2016-07-19,20.150000,20.150000,19.930000,19.990000,18.610624,14500
2016-07-20,19.990000,20.150000,19.980000,20.049999,18.666483,55300
2016-07-21,20.100000,20.100000,19.930000,20.000000,18.619928,16800
2016-07-22,20.010000,20.190001,19.980000,20.160000,18.768892,34600
2016-07-25,20.139999,20.139999,19.900000,19.950001,18.573383,27300
2016-07-26,20.059999,20.150000,20.030001,20.150000,18.759579,17600
2016-07-27,20.110001,20.260000,20.040001,20.170000,18.778200,32000
2016-07-28,20.180000,20.270000,20.120001,20.270000,18.871302,69000
2016-07-29,20.219999,20.490000,20.219999,20.490000,19.076120,70700
2016-08-01,20.480000,20.480000,20.280001,20.280001,18.880613,65500
2016-08-02,20.379999,20.379999,20.070000,20.170000,18.778200,57600
2016-08-03,20.110001,20.320000,20.030001,20.320000,18.917852,42000
2016-08-04,20.389999,20.680000,20.389999,20.600000,19.178530,12400
2016-08-05,20.750000,20.830000,20.559999,20.799999,19.364731,24100
2016-08-08,20.950001,21.000000,20.910000,20.940001,19.495070,18900
2016-08-09,21.010000,21.200001,21.010000,21.080000,19.625408,19400
2016-08-10,21.139999,21.240000,21.000000,21.010000,19.560238,151600
2016-08-11,21.209999,21.360001,21.150000,21.350000,19.876781,27100
2016-08-12,21.330000,21.350000,21.160000,21.219999,19.755749,25700
2016-08-15,21.379999,21.459999,21.360001,21.400000,19.923326,40400
2016-08-16,21.340000,21.410000,21.290001,21.320000,19.848846,33800
2016-08-17,21.190001,21.260000,20.980000,21.230000,19.765055,32600
2016-08-18,21.420000,21.420000,21.250000,21.350000,19.876781,46600
2016-08-19,21.200001,21.330000,21.090000,21.299999,19.830225,15800
2016-08-22,21.129999,21.129999,20.920000,20.959999,19.513685,36200
2016-08-23,21.030001,21.080000,20.770000,20.790001,19.355421,47200
2016-08-24,20.780001,20.860001,20.740000,20.799999,19.364731,15500
2016-08-25,20.870001,20.940001,20.790001,20.900000,19.457829,33100
2016-08-26,21.070000,21.270000,20.670000,20.770000,19.336800,26100
2016-08-29,20.900000,21.049999,20.780001,21.040001,19.588169,29700
2016-08-30,21.070000,21.100000,20.920000,20.990000,19.541622,33200
2016-08-31,20.920000,20.920000,20.680000,20.780001,19.346109,17700
2016-09-01,20.719999,20.860001,20.700001,20.860001,19.420588,19600
2016-09-02,21.129999,21.250000,21.010000,21.200001,19.737129,122400
2016-09-06,21.340000,21.650000,21.330000,21.590000,20.100216,31400
2016-09-07,21.520000,21.629999,21.450001,21.510000,20.025734,34900
2016-09-08,21.639999,21.639999,21.430000,21.540001,20.053669,76500
2016-09-09,21.180000,21.190001,20.830000,20.830000,19.392660,23600
2016-09-12,20.620001,21.030001,20.570000,20.980000,19.532307,29900
2016-09-13,20.650000,20.719999,20.250000,20.389999,18.983019,15800
2016-09-14,20.570000,20.740000,20.469999,20.540001,19.122669,34600
2016-09-15,20.610001,20.910000,20.549999,20.879999,19.439209,140700
2016-09-16,20.620001,20.660000,20.459999,20.629999,19.206459,92200
2016-09-19,20.920000,20.990000,20.790001,20.850000,19.411280,21300
2016-09-20,20.860001,20.969999,20.830000,20.900000,19.457829,63000
2016-09-21,20.830000,21.170000,20.709999,21.170000,19.963280,103300
2016-09-22,21.350000,21.360001,21.129999,21.230000,20.019854,47200
2016-09-23,21.059999,21.090000,20.879999,20.910000,19.718096,48200
2016-09-26,20.670000,20.670000,20.570000,20.570000,19.397476,58900
2016-09-27,20.700001,20.830000,20.559999,20.830000,19.642658,81000
2016-09-28,20.920000,21.049999,20.639999,21.049999,19.850117,70200
2016-09-29,20.959999,21.000000,20.610001,20.639999,19.463486,22400
2016-09-30,20.840000,20.840000,20.600000,20.750000,19.567217,25700
2016-10-03,20.820000,21.010000,20.760000,20.980000,19.784105,592600
2016-10-04,20.870001,20.900000,20.600000,20.629999,19.454056,23200
2016-10-05,20.900000,21.040001,20.840000,20.980000,19.784105,152600
2016-10-06,20.900000,21.000000,20.770000,20.990000,19.793539,147000
2016-10-07,21.049999,21.049999,20.719999,20.809999,19.623793,48500
2016-10-10,21.010000,21.070000,20.940001,21.030001,19.831257,43900
2016-10-11,20.719999,20.799999,20.559999,20.660000,19.482342,117400
2016-10-12,20.600000,20.730000,20.530001,20.639999,19.463486,13000
2016-10-13,20.520000,20.700001,20.400000,20.590000,19.416336,68300
2016-10-14,20.809999,20.820000,20.540001,20.639999,19.463486,98400
2016-10-17,20.600000,20.600000,20.510000,20.580000,19.406908,14000
2016-10-18,20.889999,20.969999,20.850000,20.940001,19.746387,18800
2016-10-19,21.010000,21.129999,21.010000,21.090000,19.887838,14000
2016-10-20,21.040001,21.129999,21.000000,21.080000,19.878405,28600
2016-10-21,20.980000,21.070000,20.959999,21.070000,19.868977,9100
2016-10-24,21.209999,21.299999,21.139999,21.280001,20.067005,17100
2016-10-25,21.209999,21.350000,21.209999,21.299999,20.085865,47900
2016-10-26,21.139999,21.160000,21.010000,21.090000,19.887838,26100
2016-10-27,21.150000,21.150000,20.950001,20.950001,19.755817,30200
2016-10-28,21.020000,21.030001,20.790001,20.820000,19.633226,53400
2016-10-31,20.900000,21.000000,20.900000,20.910000,19.718096,14300
2016-11-01,21.129999,21.129999,20.650000,20.840000,19.652088,34000
2016-11-02,20.780001,20.780001,20.510000,20.590000,19.416336,21800
2016-11-03,20.719999,20.719999,20.450001,20.480000,19.312605,64900
2016-11-04,20.350000,20.410000,20.200001,20.209999,19.057999,28100
2016-11-07,20.780001,20.940001,20.760000,20.940001,19.746387,40900
2016-11-08,20.730000,21.080000,20.730000,20.980000,19.784105,15200
2016-11-09,20.740000,20.940001,20.549999,20.629999,19.454056,254900
2016-11-10,20.590000,20.590000,20.070000,20.100000,18.954268,58300
2016-11-11,19.910000,19.910000,19.459999,19.730000,18.605356,214800
2016-11-14,19.590000,19.600000,19.330000,19.549999,18.435617,245100
2016-11-15,19.520000,19.900000,19.520000,19.889999,18.756241,99900
2016-11-16,19.680000,19.680000,19.510000,19.610001,18.492203,26900
2016-11-17,19.830000,19.870001,19.719999,19.770000,18.643078,183400
2016-11-18,19.920000,19.940001,19.680000,19.820000,18.690226,35500
2016-11-21,20.010000,20.090000,19.940001,20.059999,18.916550,18200
2016-11-22,20.370001,20.370001,20.110001,20.209999,19.057999,105400
2016-11-23,20.010000,20.110001,19.940001,20.110001,18.963699,56300
2016-11-25,20.180000,20.190001,20.129999,20.150000,19.001417,26600
2016-11-28,20.270000,20.350000,20.219999,20.280001,19.124008,45200
2016-11-29,20.190001,20.360001,20.190001,20.280001,19.124008,28100
2016-11-30,20.340000,20.440001,20.290001,20.299999,19.142866,26600
2016-12-01,20.280001,20.280001,20.010000,20.010000,18.869400,37300
2016-12-02,20.049999,20.129999,20.030001,20.070000,18.925976,12900
2016-12-05,20.070000,20.260000,20.070000,20.219999,19.067427,25600
2016-12-06,20.299999,20.430000,20.209999,20.379999,19.218306,82500
2016-12-07,20.510000,20.730000,20.459999,20.730000,19.548357,27000
2016-12-08,20.719999,20.750000,20.620001,20.740000,19.557785,33300
2016-12-09,20.670000,20.680000,20.590000,20.650000,19.472919,32700
2016-12-12,20.549999,20.549999,20.370001,20.500000,19.331469,133000
2016-12-13,20.650000,20.750000,20.549999,20.730000,19.548357,66300
2016-12-14,20.440001,20.490000,20.010000,20.010000,18.869400,56700
2016-12-15,20.040001,20.270000,20.040001,20.219999,19.067427,75900
2016-12-16,20.250000,20.250000,20.030001,20.040001,18.897688,44500
2016-12-19,20.059999,20.080000,19.920000,19.940001,18.803391,33800
2016-12-20,20.110001,20.110001,19.930000,19.959999,18.822247,85000
2016-12-21,20.049999,20.070000,19.870001,19.870001,18.742075,24000
2016-12-22,19.930000,19.930000,19.660000,19.760000,18.638319,48100
2016-12-23,19.719999,19.860001,19.719999,19.860001,18.732641,23300
2016-12-27,19.940001,20.080000,19.940001,20.049999,18.911856,46800
2016-12-28,20.280001,20.280001,20.090000,20.090000,18.949583,137900
2016-12-29,20.290001,20.469999,20.250000,20.459999,19.298580,78500
2016-12-30,20.420000,20.450001,20.309999,20.309999,19.157097,64900
2017-01-03,20.780001,20.780001,20.480000,20.590000,19.421200,504400
2017-01-04,20.790001,20.830000,20.709999,20.790001,19.609850,94600
2017-01-05,21.020000,21.080000,20.910000,20.990000,19.798498,63500
2017-01-06,20.910000,20.959999,20.850000,20.930000,19.741903,64000
2017-01-09,20.930000,20.990000,20.840000,20.870001,19.685310,70000
2017-01-10,21.070000,21.209999,21.070000,21.120001,19.921118,151500
2017-01-11,21.090000,21.330000,20.930000,21.280001,20.072033,38300
2017-01-12,21.379999,21.490000,21.379999,21.490000,20.270113,59600
2017-01-13,21.260000,21.410000,21.260000,21.350000,20.138063,22800
2017-01-17,21.450001,21.490000,21.350000,21.440001,20.222952,37600
2017-01-18,21.450001,21.590000,21.389999,21.440001,20.222952,55000
2017-01-19,21.469999,21.469999,21.309999,21.410000,20.194654,20700
2017-01-20,21.480000,21.490000,21.360001,21.490000,20.270113,21100
2017-01-23,21.590000,21.820000,21.590000,21.820000,20.581381,28800
2017-01-24,21.860001,21.980000,21.770000,21.920000,20.675707,49500
2017-01-25,22.000000,22.100000,22.000000,22.100000,20.845486,106000
2017-01-26,22.080000,22.150000,22.010000,22.090000,20.836054,139300
2017-01-27,22.160000,22.240000,22.139999,22.219999,20.958673,43800
2017-01-30,22.110001,22.110001,21.990000,22.100000,20.845486,50700
2017-01-31,22.090000,22.090000,21.930000,22.010000,20.760593,121700
2017-02-01,22.129999,22.129999,21.990000,22.090000,20.836054,144700
2017-02-02,22.160000,22.219999,22.040001,22.170000,20.911514,65500
2017-02-03,22.299999,22.340000,22.200001,22.270000,21.005838,29500
2017-02-06,22.200001,22.299999,22.190001,22.230000,20.968107,88100
2017-02-07,22.330000,22.330000,22.180000,22.209999,20.949242,43100
2017-02-08,22.450001,22.510000,22.379999,22.500000,21.222780,66300
2017-02-09,22.660000,22.660000,22.570000,22.629999,21.345402,61700
2017-02-10,22.670000,22.830000,22.610001,22.820000,21.524618,201500
2017-02-13,22.990000,23.049999,22.910000,23.010000,21.703829,150500
2017-02-14,23.059999,23.059999,22.799999,23.040001,21.732126,48600
2017-02-15,22.969999,23.139999,22.930000,23.129999,21.817019,60000
2017-02-16,23.170000,23.170000,22.959999,22.969999,21.666101,46800
2017-02-17,22.790001,22.830000,22.719999,22.830000,21.534048,63900
2017-02-21,23.020000,23.100000,22.990000,23.059999,21.750990,69100
2017-02-22,23.090000,23.139999,22.969999,23.100000,21.788723,48100
2017-02-23,23.309999,23.309999,23.040001,23.059999,21.750990,61700
2017-02-24,22.809999,22.809999,22.670000,22.709999,21.420858,31500
2017-02-27,22.620001,22.740000,22.590000,22.600000,21.317104,35100
2017-02-28,22.590000,22.620001,22.440001,22.500000,21.222780,39700
2017-03-01,22.770000,22.920000,22.730000,22.889999,21.590641,185100
2017-03-02,22.650000,22.650000,22.400000,22.430000,21.156752,53000
2017-03-03,22.620001,22.790001,22.559999,22.719999,21.430294,37200
2017-03-06,22.709999,22.750000,22.600000,22.660000,21.373697,51500
2017-03-07,22.750000,22.750000,22.590000,22.600000,21.317104,45200
2017-03-08,22.600000,22.600000,22.320000,22.320000,21.052998,98000
