Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,24.350000,24.799999,24.150000,24.180000,21.392746,38700
2016-01-04,23.469999,23.469999,23.000000,23.250000,20.569950,54000
2016-01-05,23.459999,23.459999,23.280001,23.370001,20.676119,12400
2016-01-06,23.030001,23.350000,23.030001,23.070000,20.410698,38900
2016-01-07,22.260000,22.790001,22.020000,22.049999,19.508274,48300
2016-01-08,22.340000,22.459999,21.780001,21.780001,19.269400,45500
2016-01-11,21.730000,22.020000,21.370001,21.580000,19.092453,54400
2016-01-12,21.709999,21.879999,21.540001,21.770000,19.260551,26400
2016-01-13,21.719999,21.719999,20.930000,21.120001,18.685478,21200
2016-01-14,21.040001,21.459999,20.870001,21.370001,18.906660,72500
2016-01-15,20.389999,20.809999,20.180000,20.570000,18.198877,124200
2016-01-19,21.040001,21.459999,20.680000,20.870001,18.464294,67700
2016-01-20,20.389999,20.680000,19.900000,20.549999,18.181181,106300
2016-01-21,20.190001,20.639999,19.910000,20.330000,17.986540,25800
2016-01-22,20.799999,21.129999,20.650000,20.799999,18.402363,46400
2016-01-25,20.590000,20.650000,20.340000,20.360001,18.013084,9000
2016-01-26,20.330000,20.510000,20.209999,20.370001,18.021931,15500
2016-01-27,20.260000,20.450001,20.020000,20.049999,17.738815,36500
2016-01-28,20.290001,20.500000,19.940001,20.049999,17.738815,43000
2016-01-29,20.459999,20.690001,20.410000,20.690001,18.305046,71700
2016-02-01,20.389999,20.530001,20.219999,20.389999,18.039623,39700
2016-02-02,20.400000,20.690001,20.020000,20.030001,17.721123,17100
2016-02-03,20.070000,20.320000,19.780001,20.299999,17.959997,36400
2016-02-04,20.410000,20.459999,20.049999,20.110001,17.791901,29500
2016-02-05,20.150000,20.299999,19.799999,19.820000,17.535330,11400
2016-02-08,19.650000,19.650000,19.170000,19.430000,17.190285,140500
2016-02-09,19.070000,19.270000,19.070000,19.139999,16.933714,6500
2016-02-10,19.400000,19.750000,19.150000,19.420000,17.181438,33300
2016-02-11,19.150000,19.290001,18.990000,19.170000,16.960257,20600
2016-02-12,18.969999,19.719999,18.969999,19.719999,17.446856,84000
2016-02-16,20.350000,20.490000,20.230000,20.450001,18.092709,24200
2016-02-17,20.650000,21.010000,20.520000,20.820000,18.420059,78200
2016-02-18,20.969999,20.980000,20.549999,20.549999,18.181181,57200
2016-02-19,20.740000,21.129999,20.700001,20.830000,18.428905,53000
2016-02-22,21.389999,21.549999,21.250000,21.480000,19.003979,43400
2016-02-23,21.270000,21.340000,20.879999,20.879999,18.473143,27400
2016-02-24,20.700001,21.059999,20.510000,21.040001,18.614698,23600
2016-02-25,20.709999,20.870001,20.540001,20.799999,18.402363,15600
2016-02-26,21.120001,21.120001,20.750000,20.750000,18.358128,20800
