Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,10.520000,10.600000,10.410000,10.560000,10.041132,26000
2016-01-04,10.460000,10.480000,10.240000,10.390000,9.879485,38700
2016-01-05,10.580000,10.620000,10.560000,10.610000,10.088675,19900
2016-01-06,10.390000,10.440000,10.370000,10.400000,9.888993,6400
2016-01-07,10.040000,10.190000,10.040000,10.040000,9.546683,29300
2016-01-08,10.230000,10.230000,10.040000,10.040000,9.546683,11200
2016-01-11,10.120000,10.150000,10.090000,10.150000,9.651278,39100
2016-01-12,10.110000,10.140000,10.020000,10.080000,9.584717,13400
2016-01-13,10.020000,10.020000,9.780000,9.840000,9.356509,13800
2016-01-14,9.750000,9.790000,9.650000,9.760000,9.280440,6800
2016-01-15,9.330000,9.330000,9.190000,9.280000,8.824026,13000
2016-01-19,9.370000,9.370000,9.190000,9.260000,8.805008,45700
2016-01-20,8.940000,9.050000,8.880000,9.000000,8.557782,31400
2016-01-21,9.170000,9.250000,9.090000,9.110000,8.662378,11100
2016-01-22,9.250000,9.400000,9.210000,9.290000,8.833533,3600
2016-01-25,9.260000,9.300000,9.140000,9.150000,8.700412,31300
2016-01-26,9.210000,9.310000,9.100000,9.250000,8.795500,16100
2016-01-27,9.280000,9.300000,9.170000,9.180000,8.728939,3600
2016-01-28,9.240000,9.240000,9.150000,9.180000,8.728939,4800
2016-01-29,9.300000,9.400000,9.300000,9.390000,8.928621,6400
2016-02-01,9.380000,9.470000,9.340000,9.390000,8.928621,5600
2016-02-02,9.270000,9.300000,9.090000,9.180000,8.728939,215100
2016-02-03,9.100000,9.250000,9.000000,9.240000,8.785991,88400
2016-02-04,9.200000,9.240000,9.200000,9.240000,8.785991,900
2016-02-05,9.170000,9.280000,9.170000,9.270000,8.814517,13900
2016-02-08,9.170000,9.240000,9.080000,9.100000,8.652870,16400
2016-02-09,9.040000,9.130000,9.040000,9.120000,8.671886,10300
2016-02-10,9.080000,9.140000,9.040000,9.080000,8.633852,3400
2016-02-11,8.770000,8.770000,8.640000,8.700000,8.272523,7700
2016-02-12,8.750000,8.810000,8.620000,8.810000,8.377118,5300
2016-02-16,8.880000,8.920000,8.830000,8.850000,8.415154,4200
2016-02-17,8.940000,9.090000,8.940000,9.040000,8.595818,5600
2016-02-18,9.080000,9.080000,8.920000,8.920000,8.481714,1000
2016-02-19,8.910000,8.990000,8.910000,8.930000,8.491222,9700
2016-02-22,9.060000,9.190000,9.050000,9.120000,8.671886,139600
2016-02-23,8.920000,8.940000,8.920000,8.930000,8.491222,7700
2016-02-24,8.900000,8.900000,8.750000,8.900000,8.462696,9300
2016-02-25,8.720000,8.780000,8.680000,8.780000,8.348593,6800
2016-02-26,8.700000,8.740000,8.700000,8.710000,8.282033,9500
2016-02-29,8.690000,8.830000,8.680000,8.740000,8.310558,13800
2016-03-01,8.990000,9.200000,8.990000,9.180000,8.728939,114800
2016-03-02,9.200000,9.380000,9.200000,9.320000,8.862060,25200
2016-03-03,9.390000,9.510000,9.390000,9.480000,9.014197,17200
2016-03-04,9.500000,9.670000,9.500000,9.670000,9.194862,8400
2016-03-07,9.530000,9.740000,9.010000,9.710000,9.232897,14300
2016-03-08,9.620000,9.620000,9.520000,9.580000,9.109284,6300
2016-03-09,9.630000,9.740000,9.590000,9.680000,9.204371,34500
2016-03-10,9.660000,9.690000,9.530000,9.580000,9.109284,4800
2016-03-11,9.620000,9.710000,9.620000,9.680000,9.204371,5100
2016-03-14,9.630000,9.750000,9.630000,9.750000,9.270932,10200
2016-03-15,9.690000,9.690000,9.510000,9.550000,9.080758,11800
2016-03-16,9.600000,9.680000,9.540000,9.680000,9.204371,1900
2016-03-17,9.740000,9.770000,9.740000,9.770000,9.289949,400
2016-03-18,9.960000,10.000000,9.960000,10.000000,9.508648,3300
2016-03-21,10.150000,10.190000,10.070000,10.170000,9.670295,7400
2016-03-22,10.170000,10.230000,10.110000,10.110000,9.613242,12400
2016-03-23,10.190000,10.190000,10.060000,10.090000,9.594226,3500
2016-03-24,9.980000,10.130000,9.980000,10.060000,9.565701,8700
2016-03-28,10.100000,10.100000,10.000000,10.000000,9.508648,3400
2016-03-29,10.070000,10.070000,10.070000,10.070000,9.575209,1100
2016-03-30,10.160000,10.340000,10.160000,10.240000,9.736856,43800
