Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,38.270000,38.667000,38.270000,38.425999,36.490108,13000
2016-01-04,37.070000,37.070000,36.450001,36.695000,34.846317,95100
2016-01-05,36.830002,37.235001,36.830002,37.119999,35.249905,76500
2016-01-06,36.549999,37.330002,36.549999,37.000000,35.135952,81700
2016-01-07,35.529999,35.990002,34.939999,35.040001,33.274696,529500
2016-01-08,35.759998,36.009998,34.959999,34.965000,33.203472,37400
2016-01-11,34.950001,34.950001,33.779999,34.075001,32.358315,90400
2016-01-12,34.439999,34.821999,34.417000,34.630001,32.885353,23000
2016-01-13,34.919998,34.970001,33.450001,33.680000,31.983213,29500
2016-01-14,33.770000,34.840000,33.529999,34.549999,32.809383,39100
2016-01-15,33.430000,33.580002,32.939999,33.230000,31.555883,45200
2016-01-19,34.189999,34.520000,33.530998,33.759998,32.059181,22300
2016-01-20,33.040001,33.580002,32.279999,33.230000,31.555883,52800
2016-01-21,33.209999,34.023998,32.840000,33.529999,31.840765,32800
2016-01-22,34.470001,34.540001,33.759998,33.950001,32.239609,62900
2016-01-25,33.889999,34.146999,33.792000,33.910000,32.201626,32700
2016-01-26,33.810001,33.810001,33.200001,33.650002,31.954725,222700
2016-01-27,33.400002,33.580002,32.862999,32.959999,31.299484,17200
2016-01-28,33.490002,33.490002,32.599998,32.669998,31.024094,77800
2016-01-29,33.209999,33.702999,33.209999,33.630001,31.935734,50400
2016-02-01,33.279999,33.410000,33.049999,33.400002,31.717318,10900
2016-02-02,33.310001,33.310001,32.500000,32.599998,30.957619,595300
2016-02-03,32.650002,32.650002,31.600000,32.300999,30.673685,38500
2016-02-04,32.279999,32.790001,32.160000,32.490002,30.853165,11400
2016-02-05,32.619999,32.619999,31.330000,31.370001,29.789591,17200
2016-02-08,30.860001,30.952000,30.150000,30.389999,28.858959,1458600
2016-02-09,30.020000,30.680000,29.850000,30.020000,28.507601,51500
2016-02-10,30.490000,30.940001,30.230000,30.260000,28.735510,32500
2016-02-11,29.700001,30.000000,29.260000,29.540001,28.051785,26500
2016-02-12,29.830000,30.400000,29.830000,30.260000,28.735510,927300
2016-02-16,31.250000,32.252998,31.219999,32.189999,30.568277,67800
2016-02-17,32.389999,33.009998,32.299999,32.840000,31.185532,28000
2016-02-18,33.119999,33.127998,32.500000,32.500000,30.862659,73200
2016-02-19,32.500000,32.980000,32.299999,32.970001,31.308983,221200
2016-02-22,33.410000,33.869999,33.330002,33.759998,32.059181,40400
2016-02-23,33.660000,33.660000,32.959999,33.049999,31.384951,42900
2016-02-24,32.660000,33.180000,32.150002,33.180000,31.508400,22200
2016-02-25,32.540001,32.540001,31.879999,32.340000,30.710722,49900
2016-02-26,33.000000,33.250000,32.830002,32.840000,31.185532,9300
2016-02-29,32.849998,33.000000,32.730000,32.730000,31.081072,5900
2016-03-01,33.299999,33.570000,33.209999,33.410000,31.726814,19800
2016-03-02,33.740002,33.799999,33.360001,33.549999,31.859760,384700
2016-03-03,33.349998,33.519001,33.230000,33.439999,31.755299,6100
2016-03-04,33.660000,34.330002,33.577999,34.150002,32.429535,435400
2016-03-07,33.730000,34.000000,33.720001,33.730000,32.030693,54500
2016-03-08,33.540001,33.689999,33.410000,33.459999,31.774296,12900
2016-03-09,33.520000,33.688000,33.499001,33.660000,31.964218,4500
2016-03-10,33.860001,33.900002,33.230000,33.430000,31.745806,22300
2016-03-11,33.900002,34.650002,33.900002,34.639999,32.894844,23400
2016-03-14,34.730000,34.904999,34.590000,34.740002,32.989811,61100
2016-03-15,34.480000,34.480000,34.060001,34.180000,32.458019,48500
2016-03-16,34.009998,34.950001,34.009998,34.939999,33.179733,565300
2016-03-17,34.770000,35.189999,34.770000,35.119999,33.350666,41200
2016-03-18,35.400002,35.955002,35.400002,35.900002,34.091370,105500
2016-03-21,36.000000,36.360001,35.910000,36.040001,34.224316,33700
2016-03-22,35.790001,36.150002,35.790001,36.150002,34.328777,9200
2016-03-23,36.049999,36.049999,35.320000,35.320000,33.540588,24400
2016-03-24,35.189999,35.459999,34.970001,35.459999,33.673534,514400
2016-03-28,35.459999,35.459999,35.020000,35.189999,33.417137,289600
2016-03-29,34.860001,35.688999,34.860001,35.669998,33.872952,24000
2016-03-30,35.950001,36.134998,35.889999,35.919998,34.110359,645800
2016-03-31,35.860001,36.060001,35.849998,35.849998,34.043888,41900
2016-04-01,35.430000,35.849998,35.400002,35.849998,34.043888,19100
2016-04-04,35.810001,35.939999,35.757999,35.860001,34.053387,24700
2016-04-05,35.529999,35.610001,35.279999,35.430000,33.645046,43800
2016-04-06,35.881001,36.380001,35.820000,36.290001,34.461723,39700
2016-04-07,36.080002,36.209999,35.924000,36.049999,34.233810,160900
2016-04-08,36.340000,36.580002,36.220001,36.310001,34.480713,193100
2016-04-11,36.720001,36.980000,36.630001,36.630001,34.784592,18900
2016-04-12,36.689999,37.000000,36.689999,36.959999,35.097965,14100
2016-04-13,37.400002,38.040001,37.400002,37.970001,36.057083,113000
2016-04-14,37.970001,38.090000,37.779999,38.009998,36.095066,29000
2016-04-15,37.930000,37.930000,37.675999,37.790001,35.886150,35800
2016-04-18,37.599998,37.919998,37.599998,37.869999,35.962124,13500
2016-04-19,37.990002,38.049999,37.419998,37.689999,35.791191,43500
2016-04-20,37.400002,37.790001,37.360001,37.650002,35.753208,19900
2016-04-21,37.549999,37.630001,37.320000,37.320000,35.439827,18800
2016-04-22,37.389999,37.570000,37.009998,37.259998,35.382854,204100
2016-04-25,37.040001,37.040001,36.700001,36.759998,34.908039,44000
2016-04-26,36.830002,36.830002,36.419998,36.518002,34.678234,10600
2016-04-27,36.320000,36.500000,36.049999,36.299999,34.471214,28200
2016-04-28,36.230000,36.750000,36.230000,36.369999,34.537689,19700
2016-04-29,36.500000,36.540001,36.119999,36.290001,34.461723,8000
2016-05-02,36.270000,36.270000,35.759998,36.009998,34.195824,45000
2016-05-03,35.639999,35.660000,35.240002,35.340000,33.559582,41300
2016-05-04,35.259998,35.520000,35.259998,35.439999,33.654541,55500
2016-05-05,35.900002,36.020000,35.430000,35.459999,33.673534,66900
2016-05-06,35.180000,35.349998,34.910000,35.250000,33.474117,38600
2016-05-09,34.930000,34.930000,33.779999,33.790001,32.087669,859800
2016-05-10,34.160000,34.669998,34.139999,34.570000,32.828373,76800
2016-05-11,34.380001,34.380001,33.951000,33.959999,32.249104,43400
2016-05-12,34.139999,34.139999,33.310001,33.320000,31.641350,316700
2016-05-13,33.529999,33.590000,33.080002,33.169998,31.498903,54000
2016-05-16,33.470001,34.259998,33.470001,34.080002,32.363064,915500
2016-05-17,34.040001,34.500000,34.029999,34.160000,32.439030,50200
2016-05-18,33.820000,33.998001,33.521000,33.630001,31.935734,423100
2016-05-19,33.369999,33.540001,32.799999,32.950001,31.289989,46100
2016-05-20,33.139999,33.290001,33.139999,33.209999,31.536888,440600
2016-05-23,33.270000,33.270000,33.080002,33.130001,31.460920,12700
2016-05-24,33.250000,34.259998,33.250000,34.250000,32.524498,98700
2016-05-25,34.220001,34.259998,33.860001,34.029999,32.315578,68900
2016-05-26,34.099998,34.310001,34.068001,34.259998,32.533993,13800
