Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,15.450000,15.690000,15.410000,15.690000,15.324635,9800
2016-01-04,15.340000,15.700000,15.340000,15.470000,15.109759,5200
2016-01-05,15.650000,15.990000,15.650000,15.950000,15.578582,4800
2016-01-06,15.670000,15.850000,15.580000,15.690000,15.324635,1500
2016-01-07,15.190000,15.260000,14.940000,14.940000,14.592100,6900
2016-01-08,15.180000,15.180000,15.100000,15.100000,14.748375,400
2016-01-11,15.250000,15.300000,15.250000,15.300000,14.943719,300
2016-01-12,15.300000,15.300000,15.300000,15.300000,14.943719,0
2016-01-13,15.110000,15.110000,14.480000,14.480000,14.142812,4500
2016-01-14,14.240000,14.510000,14.230000,14.440000,14.103743,5000
2016-01-15,13.800000,13.800000,13.490000,13.760000,13.439579,5100
2016-01-19,13.420000,13.540000,13.200000,13.380000,13.068427,7500
2016-01-20,12.980000,12.980000,12.820000,12.900000,12.599605,3400
2016-01-21,13.330000,13.330000,13.180000,13.220000,12.912153,4500
2016-01-22,13.720000,13.720000,13.360000,13.410000,13.097729,12200
2016-01-25,13.450000,13.560000,13.450000,13.560000,13.244238,800
2016-01-26,13.460000,13.660000,13.460000,13.570000,13.254004,1300
2016-01-27,13.500000,13.530000,13.500000,13.500000,13.185634,800
2016-01-28,13.410000,13.410000,13.410000,13.410000,13.097729,300
2016-01-29,13.710000,13.830000,13.710000,13.720000,13.400511,1800
2016-02-01,13.720000,13.830000,13.720000,13.820000,13.498181,9500
2016-02-02,13.220000,13.220000,13.220000,13.220000,12.912153,500
2016-02-03,13.220000,13.220000,13.220000,13.220000,12.912153,0
2016-02-04,12.910000,12.910000,12.900000,12.900000,12.599605,1300
2016-02-05,13.120000,13.120000,13.010000,13.010000,12.707044,600
2016-02-08,13.100000,13.260000,13.010000,13.190000,12.882852,9500
2016-02-09,13.120000,13.120000,12.840000,12.860000,12.560536,2800
2016-02-10,12.960000,12.960000,12.960000,12.960000,12.658208,1000
2016-02-11,11.910000,12.010000,11.810000,11.980000,11.701028,4600
2016-02-12,11.810000,11.900000,11.740000,11.790000,11.515452,1800
2016-02-16,11.970000,12.050000,11.850000,11.960000,11.681494,2800
2016-02-17,12.220000,12.270000,12.080000,12.080000,11.798698,2800
2016-02-18,12.150000,12.160000,12.150000,12.150000,11.867070,2100
2016-02-19,12.130000,12.140000,12.030000,12.030000,11.749864,2400
2016-02-22,12.270000,12.270000,12.270000,12.270000,11.984276,200
2016-02-23,12.140000,12.140000,12.140000,12.140000,11.857303,300
2016-02-24,11.980000,11.980000,11.910000,11.910000,11.632658,2200
2016-02-25,11.680000,11.820000,11.680000,11.820000,11.544754,1200
2016-02-26,11.390000,11.590000,11.390000,11.580000,11.310344,1000
2016-02-29,11.900000,11.900000,11.750000,11.750000,11.476385,1300
2016-03-01,12.420000,12.420000,12.420000,12.420000,12.130783,200
2016-03-02,12.520000,12.770000,12.520000,12.710000,12.414030,1900
2016-03-03,12.990000,12.990000,12.990000,12.990000,12.687510,500
2016-03-04,13.080000,13.080000,13.080000,13.080000,12.775414,300
2016-03-07,13.080000,13.080000,13.080000,13.080000,12.775414,0
2016-03-08,13.090000,13.090000,13.090000,13.090000,12.785180,300
2016-03-09,13.170000,13.170000,13.120000,13.120000,12.814482,200
2016-03-10,13.120000,13.120000,13.120000,13.120000,12.814482,0
2016-03-11,13.210000,13.260000,13.200000,13.260000,12.951221,1700
2016-03-14,13.110000,13.120000,13.060000,13.060000,12.755879,12000
2016-03-15,12.850000,13.000000,12.850000,12.930000,12.628907,24200
2016-03-16,12.990000,12.990000,12.840000,12.890000,12.589839,8200
2016-03-17,13.070000,13.070000,12.860000,12.990000,12.687510,2600
2016-03-18,13.290000,13.290000,12.990000,13.260000,12.951221,16600
2016-03-21,13.460000,13.500000,13.460000,13.500000,13.185634,2600
2016-03-22,13.500000,13.500000,13.500000,13.500000,13.185634,0
2016-03-23,13.230000,13.370000,13.160000,13.180000,12.873085,7200
2016-03-24,13.280000,13.290000,13.130000,13.250000,12.941454,7600
2016-03-28,12.910000,13.190000,12.910000,13.140000,12.834016,11700
2016-03-29,12.910000,13.150000,12.910000,13.150000,12.843782,400
2016-03-30,13.460000,13.510000,13.440000,13.460000,13.146564,14700
2016-03-31,13.610000,13.670000,13.590000,13.670000,13.351675,3600
2016-04-01,13.690000,13.710000,13.650000,13.710000,13.390743,3100
2016-04-04,13.550000,13.630000,13.550000,13.630000,13.312607,500
2016-04-05,13.360000,13.360000,13.260000,13.260000,12.951221,600
2016-04-06,13.440000,13.440000,13.410000,13.410000,13.097729,1200
2016-04-07,12.970000,12.970000,12.970000,12.970000,12.667975,300
2016-04-08,13.330000,13.330000,13.260000,13.320000,13.009824,2100
2016-04-11,13.580000,13.620000,13.580000,13.620000,13.302839,2800
2016-04-12,13.660000,13.820000,13.660000,13.820000,13.498181,2700
2016-04-13,13.820000,13.820000,13.820000,13.820000,13.498181,0
2016-04-14,13.800000,13.800000,13.800000,13.800000,13.478647,2100
2016-04-15,13.900000,13.950000,13.810000,13.950000,13.625154,42200
2016-04-18,13.930000,14.050000,13.820000,14.010000,13.683759,36900
2016-04-19,14.140000,14.250000,14.020000,14.080000,13.752128,19900
2016-04-20,14.030000,14.270000,14.030000,14.060000,13.732594,20800
2016-04-21,13.900000,13.960000,13.810000,13.870000,13.547017,92700
2016-04-22,13.920000,13.970000,13.920000,13.970000,13.644689,3200
2016-04-25,13.970000,13.970000,13.970000,13.970000,13.644689,0
2016-04-26,14.020000,14.110000,13.960000,13.970000,13.644689,3200
2016-04-27,14.050000,14.050000,14.050000,14.050000,13.722826,30900
2016-04-28,13.870000,13.870000,13.870000,13.870000,13.547017,200
2016-04-29,13.890000,13.900000,13.700000,13.840000,13.517716,2400
2016-05-02,13.760000,13.770000,13.760000,13.770000,13.449347,1200
2016-05-03,13.760000,13.770000,13.550000,13.550000,13.234469,2800
2016-05-04,13.550000,13.550000,13.550000,13.550000,13.234469,200
2016-05-05,13.350000,13.350000,13.350000,13.350000,13.039125,100
2016-05-06,13.390000,13.640000,13.390000,13.600000,13.283305,2800
2016-05-09,13.780000,13.780000,13.780000,13.780000,13.459113,400
2016-05-10,13.770000,13.770000,13.650000,13.730000,13.410277,9800
2016-05-11,13.770000,13.770000,13.580000,13.580000,13.263771,1400
2016-05-12,13.850000,13.850000,13.640000,13.640000,13.322374,800
2016-05-13,13.520000,13.570000,13.520000,13.570000,13.254004,900
2016-05-16,13.650000,13.650000,13.650000,13.650000,13.332140,300
2016-05-17,13.670000,13.690000,13.670000,13.690000,13.371209,800
2016-05-18,13.690000,13.690000,13.690000,13.690000,13.371209,500
2016-05-19,13.690000,13.690000,13.690000,13.690000,13.371209,0
